City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,4,ZA,1613858518,82,-34.4187,19.2345,63.0,11.79
1,Neuquén,0,AR,1613858352,19,-38.9516,-68.0591,80.6,9.22
2,Busselton,6,AU,1613858518,89,-33.65,115.3333,62.01,1.01
3,Aleksandrov Gay,36,RU,1613858519,93,50.147,48.5704,1.83,2.48
4,Castro,12,BR,1613858297,81,-24.7911,-50.0119,68.22,3.83
5,Ostrovnoy,92,RU,1613858519,87,68.0531,39.5131,-14.22,8.72
6,Mahébourg,40,MU,1613858522,83,-20.4081,57.7,78.8,8.05
7,Saint George,20,US,1613858522,32,37.1041,-113.5841,54.0,24.16
8,San Patricio,40,US,1613858523,48,28.017,-97.5169,64.4,14.97
9,Faanui,100,PF,1613858523,77,-16.4833,-151.75,81.61,14.45
10,Ketchikan,90,US,1613858526,93,55.3422,-131.6461,39.2,20.71
11,Rikitea,86,PF,1613858527,70,-23.1203,-134.9692,79.2,9.06
12,Lázaro Cárdenas,0,MX,1613858530,54,17.9583,-102.2,80.15,12.19
13,Kommunar,90,RU,1613858530,79,59.6206,30.39,19.4,6.71
14,Fomboni,100,KM,1613858531,69,-12.28,43.7425,83.64,1.61
15,Khatanga,96,RU,1613858531,86,71.9667,102.5,-24.74,4.32
16,Ushuaia,75,AR,1613858531,82,-54.8,-68.3,51.8,23.02
17,Tuktoyaktuk,75,CA,1613858532,76,69.4541,-133.0374,-18.4,12.66
18,Hilo,90,US,1613858532,73,19.7297,-155.09,75.2,3.44
19,Baykit,100,RU,1613858532,85,61.67,96.37,-13.59,1.05
20,Nemuro,5,JP,1613858532,90,43.3236,145.575,27.77,25.99
21,Lira,45,UG,1613858533,29,2.235,32.9097,69.87,1.99
22,Tiksi,35,RU,1613858533,85,71.6872,128.8694,-29.11,1.9
23,Cape Town,75,ZA,1613858303,63,-33.9258,18.4232,69.01,6.91
24,Kapaa,90,US,1613858443,83,22.0752,-159.319,75.99,18.41
25,Deputatsky,3,RU,1613858533,86,69.3,139.9,-31.81,2.01
26,Ţahţā,0,EG,1613858537,41,26.7693,31.5021,57.2,11.5
27,Alofi,48,NU,1613858539,69,-19.0595,-169.9187,82.4,23.02
28,Atuona,100,PF,1613858539,79,-9.8,-139.0333,79.36,12.24
29,Saint Paul Harbor,90,US,1613858539,86,57.79,-152.4072,30.2,17.27
30,Lensk,45,RU,1613858539,81,60.7253,114.9278,-29.43,2.84
31,Port Elizabeth,90,ZA,1613858540,73,-33.918,25.5701,68.0,9.22
32,Barinitas,99,VE,1613858540,45,8.7622,-70.4111,82.17,1.12
33,Dingle,100,PH,1613858540,83,10.9995,122.6711,72.21,9.55
34,Hastings,95,GB,1613858540,57,50.8552,0.5729,55.99,7.0
35,Kahului,40,US,1613858541,54,20.8947,-156.47,80.6,23.02
36,Karasjok,90,NO,1613858541,66,69.4719,25.5112,6.8,31.07
37,Carnarvon,40,AU,1613858541,94,-24.8667,113.6333,78.8,6.91
38,Port Alfred,50,ZA,1613858541,83,-33.5906,26.891,68.0,3.0
39,Codrington,78,AU,1613858541,69,-38.2667,141.9667,60.6,7.2
40,Bonthe,100,SL,1613858542,87,7.5264,-12.505,77.4,4.25
41,Pechenga,54,RU,1613858542,85,69.5259,31.1703,-0.4,9.22
42,Silver City,1,US,1613858542,18,32.7701,-108.2803,66.2,24.16
43,Palmas de Monte Alto,99,BR,1613858542,89,-14.2672,-43.1619,72.55,5.03
44,Katherine,75,AU,1613858542,100,-14.4667,132.2667,77.0,5.75
45,Westport,40,US,1613858543,55,41.1415,-73.3579,33.8,9.22
46,Ochamchira,61,GE,1613858543,77,42.7121,41.4721,38.08,3.2
47,Bluff,0,NZ,1613858543,59,-46.6,168.3333,66.99,7.0
48,Afuá,90,BR,1613858543,86,-0.1567,-50.3867,77.61,6.6
49,Ilulissat,90,GL,1613858544,60,69.2167,-51.1,1.4,11.5
